"","a.key","a.AIC","a.CvonM_p","a.P_enc_medio","a.SE_P_enc_medio","a.Muestreo","b.Modelo","b.Región","b.D_est","b.SE","b.Lcl","b.Ucl","b.Group_Size_est","b.SE_grupo","b.N_est","b.LclN","b.UclN","b.Muestreo"
"66",hr, 694.5770,0.47331780,0.6388398,0.05159333,22,hr,ML,12.093115, 3.6971193, 6.516773, 22.441081, 6.850000, 1.5047165, 7437.266, 4007.816,13801.265,22
"67",hn,1510.3647,0.70380551,0.5039999,0.03133224,23,hn,ML,35.076537, 6.2664442,24.362971, 50.501371,14.358779, 2.0901248,21572.070,14983.227,31058.343,23
"68",unif,1508.2239,0.51359098,0.4586721,0.03882450,23,unif,ML,38.542941, 7.2329535,26.375800, 56.322776,14.358779, 2.0901248,23703.909,16221.117,34638.507,23
"69",hr,1508.6382,0.83218870,0.5414678,0.04442323,23,hr,ML,32.649349, 6.0890999,22.386101, 47.617938,14.358779, 2.0901248,20079.349,13767.452,29285.032,23
"70",hn,1488.1042,0.79586149,0.5962773,0.09873397,24,hn,ML,20.809821, 5.8097754,11.986458, 36.128160,10.753968, 2.2098315,12798.040, 7371.671,22218.819,24
"71",unif,1486.5730,0.61176635,0.5493737,0.05992458,24,unif,ML,22.586491, 5.6431808,13.666931, 37.327294,10.753968, 2.2098315,13890.692, 8405.163,22956.286,24
"72",hr,1487.7108,0.72228672,0.5975934,0.08223669,24,hr,ML,20.763993, 5.4725311,12.281853, 35.104098,10.753968, 2.2098315,12769.855, 7553.340,21589.020,24
"73",hn,2518.1634,0.54556718,0.4588891,0.03977476,25,hn,ML,32.073208, 7.3621931,20.149469, 51.052992, 7.250000, 0.8015834,19725.023,12391.923,31397.590,25
"74",unif,2519.7536,0.56351879,0.5032717,0.03568238,25,unif,ML,29.244730, 6.5526690,18.533179, 46.147195, 7.250000, 0.8015834,17985.509,11397.905,28380.525,25
"75",hr,2519.7853,0.56907491,0.4925485,0.05345854,25,hr,ML,29.881414, 7.1314086,18.496468, 48.274020, 7.250000, 0.8015834,18377.069,11375.328,29688.522,25
"76",hn,2036.8877,0.62480696,0.6181741,0.04204196,26,hn,ML,25.554686, 7.3602556,14.239269, 45.862041, 9.277457, 1.5403413,15716.132, 8757.151,28205.155,26
"77",unif,2036.9313,0.39601209,0.5986406,0.03233241,26,unif,ML,26.388527, 7.5217537,14.769151, 47.149248, 9.277457, 1.5403413,16228.944, 9083.028,28996.788,26
"78",hr,2037.2338,0.90282080,0.6936855,0.04651827,26,hr,ML,22.772919, 6.5539754,12.693470, 40.856113, 9.277457, 1.5403413,14005.345, 7806.484,25126.510,26
"79",hn,1307.0595,0.49271538,0.5591548,0.04029048,27,hn,ML,25.716846, 8.2972802,13.393548, 49.378713,13.660714, 3.2270896,15815.861, 8237.032,30367.909,27
